Restaurant Name,Price Range,Restauarant Website
La Ville Blanche,53 - 95 EUR,https://www.la-ville-blanche.com/
Qui Plume la Lune,60 - 120 EUR,http://www.quiplumelalune.fr/
Maison Tiegezh,39 - 93 EUR,https://maisontiegezh.fr
MoSuke,55 - 110 EUR,https://mosuke-restaurant.com
Les Loges,94 - 135 EUR,https://www.courdesloges.com/
Le Mascaret,24 - 106 EUR,https://www.lemascaret.fr/
L'Odas,36 - 130 EUR,https://www.lodas.fr/
Moulin de la Tardoire,25 - 69 EUR,https://www.moulindelatardoire.fr/
Le Fanal,38 - 110 EUR,https://www.pascal-borrell.com/
Les Fresques,47 - 120 EUR,https://www.vigiers.com/
Comice,84 - 116 EUR,https://www.comice.paris/
La Petite Maison de Cucuron,60 - 90 EUR,https://www.lapetitemaisondecucuron.com/
Assa,62 - 114 EUR,https://www.assarestaurant.com/
L'Or Bleu,90 - 139 EUR,https://www.tiara-hotels.com/
Au 14 Février,98 - 145 EUR,https://www.ly-au14fevrier.com/
Likoké,54 - 155 EUR,https://www.likoke.com/
Lulu Rouget,35 - 95 EUR,http://www.lulurouget.fr/
Auberge des Templiers,59 - 149 EUR,https://www.lestempliers.com/
Les Ducs de Lorraine,48 - 155 EUR,https://www.restaurant-ducsdelorraine.com/
Étude,45 - 98 EUR,https://www.restaurant-etude.fr/
Le Refuge des Gourmets,69 - 105 EUR,https://www.refugedesgourmets.com/
Le Grand Cerf,39 - 174 EUR,https://www.le-grand-cerf.fr/
Le Rigmarole,45 - 75 EUR,https://www.lerigmarole.com/
Borkonyha Winekitchen,"8,650 - 23,000 HUF",www.borkonyha.hu
essência,"5,500 - 41,900 HUF",www.essenciarestaurant.hu
Costes Downtown,"7,900 - 31,500 HUF",www.costesdowntown.hu
Boškinac,590 - 890 HRK,https://www.boskinac.com/
Noel,135 - 950 HRK,https://www.noel.hr/
Alfred Keller,320 - 780 HRK,https://www.losinj-hotels.com/en/dining/restaurant-alfred-keller/
Nebo,"890 - 1,250 HRK",https://neborijeka.com/
Draga di Lovrana,360 - 590 HRK,https://www.dragadilovrana.hr/
Hiša Denk,45 - 85 EUR,https://www.hisadenk.si/
Agli Amici Rovinj,"830 - 1,050 HRK",www.maistra.com/grand-park-hotel-rovinj/sub/agli-amici-rovinj
Monte,"794 - 1,044 HRK",https://www.monte.hr/
Restavracija Atelje,24 - 120 EUR,https://www.restavracijaatelje.com/
Gostišče Grič,60 - 110 EUR,https://www.gric.si/
Gostilna Pri Lojzetu,55 - 95 EUR,https://www.prilojzetu.com/
U Santa Marina,75 - 145 EUR,https://www.usantamarina.com/
Vila Podvin,24 - 95 EUR,https://www.vilapodvin.si/
Dam,75 - 116 EUR,https://www.damhotel.si/
PUR,105 - 185 EUR,https://www.kempinski.com/berchtesgaden
Johanns,29 - 82 EUR,http://www.restaurant-johanns.de/
Huberwirt,30 - 119 EUR,https://www.huber-wirt.de/
Marcore,55 - 95 EUR,https://www.marcore-paris.com/
Château de Courban,69 - 129 EUR,https://www.chateaudecourban.com/
Benoit,39 - 114 EUR,https://www.benoit-paris.com/
L'Arôme,65 - 169 EUR,https://www.larome.fr/
L'Esquisse,42 - 95 EUR,https://www.esquisse-annecy.fr/
Le Pavé d'Auge,44 - 84 EUR,https://www.pavedauge.com/
La Magdeleine - Mathias Dandine,60 - 145 EUR,https://www.relais-magdeleine.com/
Shang Palace,58 - 168 EUR,https://www.shangri-la.com/fr/paris/shangrila
Val d'Auge,45 - 120 EUR,https://www.valdauge.com/
Le Petit Hôtel du Grand Large,45 - 100 EUR,https://www.lepetithoteldugrandlarge.fr/
L'Atelier de Joël Robuchon - Étoile,49 - 225 EUR,https://www.joel-robuchon.com/
Le Kaïku,40 - 90 EUR,https://www.kaiku.fr/
La Dune du Château de Sable,99 - 169 EUR,https://www.lechateaudesablehotel.fr/
Le Verbois,45 - 117 EUR,https://www.leverbois.fr/
Pavyllon,68 - 235 EUR,https://www.yannick-alleno.com/
La Table des Blot - Auberge du Château,75 - 85 EUR,https://www.latabledesblot.com/
Gaya par Pierre Gagnaire,49 - 120 EUR,https://www.pierre-gagnaire.com/
L'Atelier de Joël Robuchon - St-Germain,49 - 175 EUR,https://www.joel-robuchon.com/
Pilgrim,45 - 143 EUR,https://www.pilgrimparis.com/
Azimut,40 - 108 EUR,https://www.restaurantazimut.com/
La Table de la Bergerie,29 - 70 EUR,http://www.latable-bergerie.fr/
Julien Binz,68 - 100 EUR,https://www.restaurantjulienbinz.com/
Le Royal,135 - 280 EUR,https://www.royalchampagne.com/
Agapé,54 - 185 EUR,https://www.agape-paris.fr/
L'Émulsion,65 - 90 EUR,https://www.lemulsion-restaurant.com/
Le Saint-James,52 - 160 EUR,https://www.saintjames-bouliac.com/
Miraflores,45 - 180 EUR,https://www.restaurant-miraflores.com/
Skab,45 - 135 EUR,https://www.restaurant-skab.fr/
Ithurria,48 - 92 EUR,https://www.ithurria.com/
Auberge St-Laurent,33 - 86 EUR,https://www.auberge-saintlaurent.fr/
L'Archeste,55 - 185 EUR,https://www.archeste.fr/
Signature,29 - 95 EUR,https://www.signaturemarseille.com/
"114, Faubourg",82 - 150 EUR,https://www.lebristolparis.com/
Auberge de l'Abbaye,38 - 100 EUR,https://www.aubergedelabbaye-ambronay.com/
Le Vivier,36 - 120 EUR,https://www.levivier-restaurant.com/
La Table de Nans,59 - 110 EUR,https://www.latabledenans.com/
L'Oiseau Blanc,95 - 220 EUR,https://www.peninsula.com/
Le Hittau,36 - 92 EUR,http://www.lehittau.fr/
La Tour des Vents,51 - 93 EUR,https://www.tourdesvents.com/
Le Prieuré,49 - 99 EUR,https://www.leprieureambierle.fr/
Le Candille,80 - 138 EUR,https://www.lemascandille.com/
La Table d'Hôtes - Le Quatrième Mur,170 EUR,https://www.quatrieme-mur.com/
La Table d'Olivier,51 - 93 EUR,N/A
Pantagruel,35 - 73 EUR,https://www.restaurant-pantagruel.com/
Ed.Em,40 - 90 EUR,https://www.restaurant-edem.com/
Ochre,55 - 115 EUR,https://www.ochre.fr/
La Table de Patrick Raingeard,130 - 190 EUR,https://www.capestel.com/
La Table de Xavier Mathieu,100 - 230 EUR,https://www.lephebus.com/
Les Climats,49 - 130 EUR,https://www.lesclimats.fr/
Auberge de la Charme,50 - 96 EUR,https://www.aubergedelacharme.com/
JAN,85 - 139 EUR,https://www.restaurantjan.com/
Les Oliviers,80 - 149 EUR,http://www.ile-rousse.com/
Le Village,58 - 130 EUR,https://www.restaurant-levillage.fr/
Le Pavillon,85 - 130 EUR,https://www.hotelsbarriere.com/
Alan Geaam,58 - 128 EUR,https://www.alangeaam.fr/
Nicolas Carro - Hôtel de Carantec,33 - 120 EUR,https://www.hotel-carantec.fr/
Divellec,90 - 150 EUR,https://www.divellec-paris.fr/
Maison Decoret,45 - 137 EUR,https://www.maisondecoret.com/
Château du Mont Joly,42 - 115 EUR,https://www.chateaumontjoly.com/
1741,45 - 135 EUR,https://www.1741.fr/
Au Déjeuner de Sousceyrac,30 - 100 EUR,https://www.au-dejeuner-de-sousceyrac.com/
La Table Breizh Café,55 - 95 EUR,https://www.breizhcafe.com/
Toya,52 - 120 EUR,http://www.toya-restaurant.fr/
Fontevraud Le Restaurant,70 - 101 EUR,https://www.fontevraud.fr/
Loiseau des Ducs,55 - 120 EUR,https://www.bernard-loiseau.com/
Rustique,75 EUR,https://www.rustiquelyon.fr/
Ô Saveurs,30 - 98 EUR,https://www.o-saveurs.com/
Racines,32 - 70 EUR,https://www.racines-restaurant.fr/
Les Agitateurs,38 - 119 EUR,https://www.lesagitateurs.com/
Hostellerie de l'Abbaye de la Celle,56 - 110 EUR,https://www.abbaye-celle.com/
Au Souper Fin,52 - 60 EUR,https://www.souperfin.fr/
Clovis,54 - 85 EUR,https://www.clovisgourmand.fr/
Atmosphères,52 - 130 EUR,https://www.atmospheres-hotel.com/
Tentazioni,35 - 95 EUR,https://www.tentazioni-bordeaux.fr/
Armani Ristorante,105 - 160 EUR,https://www.emporioarmanicaffeparis.com/
A Casa di Ma,90 - 175 EUR,https://www.acasadima.com/
Ima,30 - 95 EUR,https://www.ima.restaurant/
Maison Kieny,55 - 115 EUR,http://www.restaurant-kieny.com/
Hostellerie la Montagne,25 - 90 EUR,https://www.hostellerielamontagne.com/
Les Explorateurs,89 - 150 EUR,https://www.hotelpashmina.com/
Le Colombier,39 - 87 EUR,https://www.lecolombieroffranville.fr/
Le Passe Temps,39 - 105 EUR,https://www.lepassetemps-restaurant.com/
Hervé Busset,40 - 110 EUR,https://www.moulindecambelong.com/
L'Écrin de Yohann Chapuis,75 - 182 EUR,https://www.restaurant-greuze.fr/
Château de Pray,59 - 140 EUR,https://www.chateaudepray.fr/
En Pleine Nature,32 - 82 EUR,https://www.en-pleine-nature.com/
Château de Sully,69 - 119 EUR,https://www.chateau-de-sully.com/
Yam'Tcha,150 EUR,https://www.yamtcha.com/
Il Cortile,36 - 109 EUR,https://www.ilcortile-mulhouse.fr/
Le Cap,138 - 184 EUR,https://www.fourseasons.com/fr/capferrat
Oka,65 - 130 EUR,https://www.okaparis.fr/
La Table de Philippe Girardon,35 - 135 EUR,https://www.domaine-de-clairefontaine.fr/
Guy Lassausaie,76 - 120 EUR,https://www.guy-lassausaie.com/
Flaveurs,38 - 98 EUR,https://www.flaveurs-restaurant.com/
La Pomme d'Api,29 - 119 EUR,https://www.lapommedapi.com/
Terre-Mer au Domaine de Kerdrain,37 - 95 EUR,https://www.restaurant-terre-mer.fr/
Helen,48 - 170 EUR,https://www.helenrestaurant.com/
L'O des Vignes,34 - 100 EUR,www.lodesvignes.fr
Mon Plaisir,49 - 99 EUR,https://www.restaurant-mon-plaisir.com/
Le Pot d'Étain,35 - 121 EUR,https://www.restaurant-potdetain.fr/
Le Relais des Moines,49 - 118 EUR,https://www.lerelaisdesmoines.com/
Les Terrasses de Lyon,49 - 120 EUR,https://www.villaflorentine.com/
Ivan Vautier,39 - 110 EUR,https://www.ivanvautier.com/
Le Brittany,85 - 150 EUR,https://www.hotel-brittany.com/
La Dame de Pic,90 - 165 EUR,https://www.anne-sophie-pic.com/
Le France,24 - 108 EUR,https://www.hotel-restaurant-lefrance.com/
Le Manoir du Lys,50 - 99 EUR,https://www.manoir-du-lys.fr/
La Bastide Saint-Antoine,72 - 208 EUR,https://www.jacques-chibois.com/
Moulin d'Alotz,51 - 88 EUR,https://www.moulindalotz.com/
Les Rosiers,39 - 124 EUR,https://www.restaurant-lesrosiers.fr/
Le Sergent Recruteur,49 - 151 EUR,https://www.lesergentrecruteur.fr/
Auberge de la Brie,62 - 95 EUR,https://www.aubergedelabrie.net/
Automne,35 - 125 EUR,https://www.automne-akishige.com/
L'Orangerie,85 - 165 EUR,https://www.fourseasons.com/fr/paris/dining/restaurants/l-orangerie
Le Belvédère,45 - 112 EUR,https://www.belvedere-bozouls.com/
La Gourmandière - La Table d'Olivier,62 - 95 EUR,https://www.la-gourmandiere.fr/
Le Manoir de la Régate,28 - 80 EUR,https://www.manoirdelaregate.com/
Le Haut-Allier,58 - 110 EUR,https://www.hotel-lehautallier.com/
Michel Trama,75 - 210 EUR,https://www.aubergade.com/
La Huchette,68 - 110 EUR,https://www.la-huchette.fr/
Maximin Hellio,39 - 145 EUR,https://www.maximinhellio.fr/
Le Millénaire,39 - 160 EUR,https://www.lemillenaire.com/
L'Atelier Alexandre Bousquet,38 - 98 EUR,http://latelier-alexandrebousquet.com
Le Sénéchal,44 - 135 EUR,https://www.hotel-senechal.fr/
Ursus,98 - 148 EUR,https://www.les-suites-du-nevada.com/
La Table d'Hôtes - La Rôtisserie du Chambertin,55 - 85 EUR,https://www.thomascollomb.fr/
L'Ours,60 - 120 EUR,https://www.loursrestaurant.com/
Logis de la Cadène,44 - 105 EUR,https://www.logisdelacadene.fr/
Le Grand Cap,45 - 115 EUR,https://www.restaurant-grand-cap.fr/
Jérémy Galvan,40 - 109 EUR,https://www.jeremygalvanrestaurant.com/
Gordon Ramsay au Trianon,118 - 199 EUR,https://www.trianonpalace.fr/
SEPT,78 - 120 EUR,https://www.restaurant-sept.fr/
Nakatani,68 - 165 EUR,http://www.restaurant-nakatani.com/
ONA,24 - 59 EUR,https://www.clairevallee.com/
Maison Hache,36 - 135 EUR,https://www.maisonhache.com/
En Marge,39 - 149 EUR,https://www.restaurantenmarge.com/
Le Clair de la Plume,115 - 135 EUR,https://www.clairplume.com/
Jérôme Feck,68 - 87 EUR,https://www.hotel-dangleterre.fr/
Au Crocodile,74 - 138 EUR,https://www.au-crocodile.com/
L'Auberge de St-Rémy-de-Provence - Fanny Rey & Jonathan Wahid,75 - 170 EUR,https://www.aubergesaintremy.com/
La Liégeoise,54 - 90 EUR,https://www.atlantic-delpierre.com/
Auberge de l'Île Barbe,65 - 165 EUR,https://www.aubergedelile.com/
Lucas Carton,75 - 185 EUR,https://www.lucascarton.com/
Un Parfum de Gourmandise,35 - 80 EUR,https://www.unparfumdegourmandise.com/
Cibo,32 - 79 EUR,https://www.cibo.restaurant/
L'Ekrin by Laurent Azoulay,95 - 305 EUR,https://www.lekaila.com/
La Palmeraie - Château de Valmer,80 - 150 EUR,https://www.chateauvalmer.com/
La Balette,54 - 129 EUR,https://www.relaisdestroismas.com/
Duende,160 - 205 EUR,https://www.maison-albar-hotels-l-imperator.com/
L'Oustalet,82 - 120 EUR,https://www.loustalet-gigondas.com/
Le Pily,56 - 72 EUR,http://www.le-pily.com/
La Nouvelle Auberge,45 - 110 EUR,https://www.nauberge.com/
L'Anthocyane,30 - 80 EUR,https://www.lanthocyane.com/
La Promenade,30 - 100 EUR,https://www.restaurant-la-promenade.fr/
Choko Ona,25 - 72 EUR,https://www.choko-ona.fr/
Le Jardin des Plumes,55 - 115 EUR,https://www.jardindesplumes.fr/
Palais Royal Restaurant,60 - 168 EUR,https://www.restaurantdupalaisroyal.com/
L'Aupiho - Domaine de Manville,60 - 145 EUR,https://www.domainedemanville.fr/
La Table de la Mainaz,99 - 139 EUR,https://www.la-mainaz.com/
Frédéric Molina au Moulin de Léré,60 - 90 EUR,https://www.moulindelere.com/
Le Carré d'Alethius,32 - 110 EUR,https://www.lecarredalethius.com/
Solstice,75 - 120 EUR,https://www.solsticeparis.com/
Avel Vor,38 - 118 EUR,https://www.restaurant-avel-vor.com/
La Rotonde,39 - 139 EUR,https://www.pavillon-rotonde.com/
Château de Vault de Lugny,59 - 139 EUR,https://www.lugny.fr/
Pertica,48 - 90 EUR,http://www.restaurantpertica.com/
Ze Kitchen Galerie,48 - 115 EUR,https://www.zekitchengalerie.fr/
La Closerie,36 - 75 EUR,https://www.lacloserieansouis.com/
Frenchie,57 - 95 EUR,http://www.frenchie-restaurant.com/
L'Auberge Basque,75 - 118 EUR,https://www.aubergebasque.com/
Domaine du Colombier,48 - 92 EUR,https://www.domaine-colombier.com/
La Condesa,45 - 95 EUR,http://www.lacondesa-paris.com/
Le Gourmet de Sèze,65 - 120 EUR,https://www.legourmetdeseze.com/
Le Panoramic,56 - 115 EUR,www.les-suites-du-nevada.com/le-panoramic-restaurant-tignes
Pur' - Jean-François Rouquette,135 - 235 EUR,https://www.paris-restaurant-pur.fr/
Bruno,78 - 195 EUR,https://www.restaurantbruno.com/
La Bonne Auberge,85 - 140 EUR,N/A
Vincent Favre Félix,31 - 90 EUR,https://www.restaurant-vff.com/
Château Blanchard,48 - 115 EUR,https://www.hotel-chateau-blanchard.com/
Le Puits du Trésor,60 - 120 EUR,https://www.lepuitsdutresor.com/
Transparence - La Table de Patrick Fréchin,37 - 90 EUR,https://www.restaurant-transparence.fr/
L'Empreinte,35 - 99 EUR,http://www.lempreinte-restaurant.fr/
René'Sens par Jean-François Bérard,39 - 125 EUR,https://www.hotel-berard.com/
La Ribaudière,54 - 120 EUR,https://www.laribaudiere.com/
L'Essentiel,34 - 75 EUR,https://www.lessentiel-deauville.com/
Dominique Bouchet,58 - 145 EUR,https://www.dominique-bouchet.com/
L'Observatoire du Gabriel,52 - 160 EUR,https://www.bordeaux-gabriel.fr/
Le Marcq,34 - 79 EUR,https://www.lemarcq.fr/
La Table du Gourmet,90 - 130 EUR,https://www.jlbrendel.com/
L'Axel,45 - 160 EUR,http://www.laxel-restaurant.com/
Auberge Grand'Maison,31 - 76 EUR,https://www.auberge-grand-maison.com/
Lait Thym Sel,70 EUR,https://www.laitthymsel.fr/
La Grande Cascade,105 - 215 EUR,https://www.restaurantsparisiens.com/
Haut Bonheur de la Table,46 - 58 EUR,https://www.hautbonheurdelatable.com/
Le Baudelaire,62 - 150 EUR,https://www.leburgundy.com/
Les Genêts,28 - 72 EUR,https://www.restaurant-les-genets.fr/
La Barbacane,45 - 130 EUR,www.cite-hotels.com/fr/etablissements/restaurant-la-barbacane.html
Colette,70 - 110 EUR,https://www.colettesainttropez.com/
Le Charlemagne,68 - 98 EUR,https://www.lecharlemagne.fr/
La Table d'Uzès,34 - 120 EUR,https://www.lamaisonduzes.fr/
Soléna,35 - 98 EUR,https://www.solena-restaurant.com/
Albert 1er,85 - 176 EUR,www.hameaualbert.fr
Pollen,30 - 60 EUR,https://www.pollen-restaurant.fr/
L'Hysope,48 - 102 EUR,https://www.lhysope.fr/
Le Jardin de Berne,105 - 160 EUR,https://www.chateauberne.com/
La Table - Hôtel Clarance,55 - 115 EUR,https://www.clarancehotel.com/
La Table des Merville,35 - 110 EUR,http://www.table-des-merville.fr/
La Table du Connétable - Auberge du Jeu de Paume,54 - 145 EUR,https://www.aubergedujeudepaumechantilly.fr/
Le Donjon - Domaine Saint-Clair,35 - 105 EUR,https://www.hoteletretat.com/
Le Corot,95 - 145 EUR,https://www.etangs-corot.com/
Restaurant Pierre Grein,60 - 130 EUR,N/A
La Mère Germaine,88 - 118 EUR,https://www.lameregermaine-chateauneufdupape.fr/
La Table de Castigno,47 - 98 EUR,https://villagecastigno.com/
La Table de la Ferme,210 EUR,https://www.murtoli.com/
Le Dallaison,35 - 69 EUR,https://www.ledallaison.com/
Le Prince Noir - Vivien Durand,60 - 125 EUR,https://www.leprincenoir-restaurant.fr/
Buerehiesel,46 - 114 EUR,https://www.buerehiesel.fr/
Villa de l'Étang Blanc,35 - 85 EUR,https://www.villaetangblanc.fr/
Le Gindreau,75 - 135 EUR,http://www.legindreau.com/
Auberge au Bœuf,38 - 102 EUR,https://www.auberge-au-boeuf.fr/
Fleur de Pavé,45 - 110 EUR,http://www.fleurdepave.com/
Auberge de Montfleury,25 - 90 EUR,https://www.auberge-de-montfleury.fr/
Pierre Reboul,75 - 145 EUR,https://www.chateaudelapioline.com/
La Bonne Étape,88 - 135 EUR,https://www.bonneetape.com/
Le George,62 - 140 EUR,https://www.legeorge.com/
Alliance,59 - 195 EUR,https://www.restaurant-alliance.fr/
Nomicos,49 - 160 EUR,https://www.nomicos.fr/
Roscanvec,38 - 105 EUR,www.roscanvec.com
Château d'Adoménil,79 - 160 EUR,http://www.adomenil.com/
Table - Bruno Verjus,70 - 240 EUR,https://www.table.paris/
Aspic,85 EUR,https://www.aspic-restaurant.fr/
L'Aquarelle,56 - 120 EUR,https://www.laquarelle.net/
Les Trois Soleils de Montal,38 - 92 EUR,www.3soleils.fr
Auberge Le Prieuré,33 - 89 EUR,https://www.aubergeleprieure.fr/
La Source,35 - 90 EUR,https://www.lacharpiniere.com/
La Terrasse,128 - 152 EUR,https://www.hotellesrochesrouges.com/
Le Pousse-Pied,20 - 75 EUR,https://www.lepoussepied.fr/
Roza,25 - 68 EUR,https://www.restaurantroza.com/
Origines,60 - 110 EUR,https://www.restaurant-origines.fr/
Les Clefs d'Argent,25 - 100 EUR,https://www.clefs-dargent.com/
La Promenade,53 - 102 EUR,https://www.restaurantdallaislapromenade.com/
Le Jules Verne,135 - 230 EUR,https://www.restaurants-toureiffel.com/fr/restaurant-jules-verne.html
Lamartine,70 - 115 EUR,https://www.lamartine-marin.com/
Auguste,39 - 120 EUR,https://www.restaurantauguste.fr/
Apicius,39 - 120 EUR,https://www.apicius-clermont.com/
Le Lièvre Gourmand,47 - 88 EUR,http://www.lelievregourmand.com/
Château de Massillan,59 - 99 EUR,https://www.chateaudemassillan.fr/
La Signoria,92 - 195 EUR,https://www.hotel-la-signoria.com/
L'Aparté,32 - 105 EUR,https://www.restaurant-laparte.fr/
Numéro 3,70 EUR,https://www.restaurant-numero3.fr/
Frédéric Doucet,45 - 125 EUR,https://www.maison-doucet.com/
1131,98 - 145 EUR,https://www.abbayedelabussiere.fr/
L'Allée des Vignes,59 - 89 EUR,https://www.alleedesvignes.com/
ERH,65 - 140 EUR,https://www.restaurant-erh.com/
La Vieille Tour,37 - 57 EUR,https://www.restaurant-la-vieille-tour-blois.com/
Nature,28 - 72 EUR,https://www.restaurant-nature.com/
Lalique,95 - 165 EUR,https://www.lafauriepeyragueylalique.com/
Le Restaurant des Rois,195 - 240 EUR,https://www.reservebeaulieu.com/
Le Carmin,38 - 128 EUR,https://www.restaurant-lecarmin.com/
Moulin de Rosmadec,47 - 117 EUR,https://www.rosmadec.com/
L'Évidence,39 - 108 EUR,http://www.restaurant-levidence.com/
Ô Flaveurs,75 - 135 EUR,https://www.oflaveurs.com/
Le Pressoir,36 - 110 EUR,www.le-pressoir.fr
Radio,32 - 109 EUR,https://www.hotel-radio.fr/
Claude Darroze,39 - 120 EUR,https://www.darroze.com/
La Chapelle Saint-Martin,75 - 234 EUR,https://www.chapellesaintmartin.com/
Les Foudres,95 - 135 EUR,https://www.chaismonnethotel.com/
ES,80 - 150 EUR,https://www.es-restaurant.fr/
Le 7ème Continent,83 - 115 EUR,https://www.le7emecontinent.com/
Auberge des Saints Pères,46 - 85 EUR,https://www.auberge-des-saints-peres.fr/
La Table du 11,55 - 65 EUR,https://www.latabledu11.com/
Frédéric Simonin,60 - 162 EUR,https://www.fredericsimonin.com/
Auberge de la Mine,42 - 77 EUR,https://www.aubergedelamine.com/
Copenhague,55 - 115 EUR,https://www.restaurant-copenhague-paris.fr/
Auberge à la Bonne Idée,84 - 155 EUR,N/A
Alchémille,90 - 110 EUR,https://www.lalchemille.fr/
Le Art,63 - 185 EUR,https://www.chateaudelagaude.com/
Le Farçon,48 - 146 EUR,https://www.lefarcon.fr/
Quai des Saveurs,75 - 125 EUR,https://www.quaidessaveurs.com/
Le Fantin Latour - Stéphane Froidevaux,58 - 90 EUR,https://www.fantin-latour.fr/
Maximilien,36 - 120 EUR,https://www.le-maximilien.com/
Le Chiquito,70 - 107 EUR,https://www.lechiquito.fr/
Manoir de Lan-Kerellec,33 - 120 EUR,https://www.lankerellec.com/
La Licorne Royale,59 - 120 EUR,https://www.hotel-licorne.com/
Auberge Pom'Poire,36 - 74 EUR,https://www.aubergepompoire.fr/
Ambroisie,78 - 126 EUR,https://www.restaurant-ambroisie.fr/
Auberge du Pont d'Acigné,28 - 115 EUR,https://www.auberge-du-pont-dacigne.com/
Le St-Placide,35 - 115 EUR,https://www.st-placide.com/
Les Hautes Roches,68 - 130 EUR,https://www.leshautesroches.com/
Le Clocher des Pères,75 - 90 EUR,http://www.leclocherdesperes.com/
La Galinette,28 - 60 EUR,https://www.restaurant-galinette.com/
Neige d'Été,65 - 180 EUR,https://www.neigedete.fr/
Pure & V,80 - 120 EUR,N/A
La Chassagnette,67 - 145 EUR,https://www.chassagnette.fr/
Virtus,39 - 165 EUR,https://www.virtus-paris.com/
Auberge Frankenbourg,44 - 98 EUR,https://www.frankenbourg.com/
Louroc,158 - 240 EUR,https://www.hotel-du-cap-eden-roc.com/
La Vieille Tour,34 - 85 EUR,https://www.la-vieille-tour.com/
La Madeleine,50 - 125 EUR,https://www.restaurant-lamadeleine.fr/
Faventia,85 - 175 EUR,https://www.terre-blanche.com/
Ken Kawasaki,45 - 95 EUR,https://www.restaurantkenkawasaki.fr/
La Passagère,135 - 185 EUR,https://www.bellesrives.com/
Le Pourquoi Pas,39 - 105 EUR,https://www.castelbrac.com/
La Table d'à Côté,60 - 103 EUR,https://www.latabledacote.fr/
La Cachette,50 - 120 EUR,N/A
Relais Louis XIII,65 - 145 EUR,http://www.relaislouis13.com/
Les Tables de Gaspard,36 - 74 EUR,http://www.lestablesdegaspard.com/
Le Saint-Martin,65 - 130 EUR,https://www.chateau-st-martin.com/
Akrame,75 - 160 EUR,https://www.akrame.com/
Lea Linster,129 - 189 EUR,https://www.lealinster.lu/
Mosconi,55 - 150 EUR,http://www.mosconi.lu/
La Distillerie,120 - 150 EUR,https://www.bourglinster.lu/
La Cristallerie,58 - 178 EUR,https://www.la-cristallerie.com/
Fani,50 - 145 EUR,https://www.fani.lu/
Clairefontaine,57 - 112 EUR,https://www.restaurantclairefontaine.lu/
Guillou Campagne,34 - 100 EUR,https://www.guilloucampagne.lu/
Les Jardins d'Anaïs,59 - 125 EUR,https://www.jardinsdanais.lu/
Le Comptoir de Marie,39 - 119 EUR,https://www.lecomptoirdemarie.be/
The Butcher's son,64 - 92 EUR,https://www.thebutchersson.be/
't Fornuis,75 - 125 EUR,N/A
Le Grand Cap,45 - 115 EUR,https://www.restaurant-grand-cap.fr/
L'Aparté,54 - 119 CHF,https://www.hotelroyalgeneva.com/
Le Carré d'Alethius,32 - 110 EUR,https://www.lecarredalethius.com/
Table de Mary,69 - 135 CHF,https://www.latabledemary.ch/
Ambroisie,78 - 126 EUR,https://www.restaurant-ambroisie.fr/
Tsé Fung,78 - 188 CHF,https://www.tsefung.ch/
Flaveurs,38 - 98 EUR,https://www.flaveurs-restaurant.com/
La Cachette,50 - 120 EUR,N/A
Wolfshöhle,39 - 125 EUR,http://www.wolfshoehle-freiburg.de/
Traube,89 - 120 EUR,http://www.traube-blansingen.de/
Zehner's Stube,87 - 135 EUR,https://www.zehnersstube.de/
temporaire - Köhlerstube,125 - 155 EUR,https://www.traube-tonbach.de/
Laudensacks Gourmet Restaurant,76 - 138 EUR,https://www.laudensacks-parkhotel.de/
Auberge St-Laurent,33 - 86 EUR,https://www.auberge-saintlaurent.fr/
Storchen,42 - 128 EUR,https://www.storchen-schmidhofen.de/
Auberge de Montfleury,25 - 90 EUR,https://www.auberge-de-montfleury.fr/
Maison Chabran - La Grande Table,119 - 139 EUR,https://www.maisonchabran.com/
Schlossberg,103 - 172 EUR,www.hotel-sackmann.de
Restaurant De Lauzun,36 - 110 EUR,https://www.restaurant-delauzun.com/
Alte Schule - Klassenzimmer,110 - 160 EUR,https://www.hotelalteschule.de/
Le Cor de Chasse,40 - 105 EUR,https://www.lecordechasse.be/
't Overhamme,47 - 95 EUR,https://www.toverhamme.be/
Michel,52 - 131 EUR,https://www.restaurant-michel.be/
Attablez-vous,32 - 75 EUR,https://www.attablezvous.be/
Eyckerhof,49 - 110 EUR,https://www.eyckerhof.be/
't Truffeltje,45 - 100 EUR,https://www.truffeltje.be/
Kommilfoo,42 - 115 EUR,https://www.restaurantkommilfoo.be/
Zur Post,45 - 100 EUR,https://www.hotelzurpost.be/
De Pastorie,50 - 130 EUR,https://www.restaurantdepastorie.be/
Sans Cravate,48 - 114 EUR,https://www.sanscravate.be/
OAK,74 - 119 EUR,https://www.oakgent.be/
Le Pilori,36 - 95 EUR,https://www.pilori.be/
La Belle,54 - 125 EUR,https://www.la-belle.be/
Innesto,43 - 125 EUR,https://www.innesto.be/
Bistro Racine,24 - 65 EUR,https://www.bistroracine.be/
Auberge de la Grappe d'Or,72 - 84 EUR,https://www.lagrappedor.com/
Auberge de Herborist,58 - 98 EUR,https://www.aubergedeherborist.be/
Boo Raan,39 - 55 EUR,https://www.booraan.be/
Le Château de Strainchamps,45 - 100 EUR,https://www.chateaudestrainchamps.com/
Publiek,38 - 98 EUR,https://www.publiekgent.be/
La Ligne Rouge,38 - 95 EUR,https://www.lalignerouge.be/
Héliport Brasserie,38 - 92 EUR,http://www.heliportbrasserie.be/
